p_name,fit_goal,author,days_per_wk,equipment array,p_type,exp_lvl,gender,p_ummary,cover_img,shares,stars,votes,comment_count
 äóìNo Juiceäó Advanced Bodybuilding Workout Routine,Build Muscle,Pete Khatcherian,6,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Advanced,"
						Male & Female						
					","Avoid plateauing with the ""No Juice"" routine, which manipulates intensity, frequency, and volume to help you continue progressing in the gym.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/no_juice_feature.jpg,0,4,9,18
10 Week Chest Size & Bench Press Strength Workout,Build Muscle,M&S Team,1,"Barbell, Dumbbells, Machines",Single Muscle Group,Beginner,"
						Male & Female						
					",This ten week training cycle is designed to not only boost your barbell bench press prowess but also pack on slabs of muscle mass to your upper and lower chest.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/10mass_feature.jpg,0,4.9,40,49
10 Week Mass Building Program,Build Muscle,M&S Writers,4,"Barbell, Bodyweight, Dumbbells, Machines",Split,Advanced,"
						Male & Female						
					",This workout is designed to increase your muscle mass as much as possible in 10 weeks. Works each muscle group hard once per week using mostly heavy compound exercises.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/10weekmass.jpg,0,4.8,2200,2400
100 Rep Hell: A Shocker Muscle Building Workout,Build Muscle,M&S Team,5,"Barbell, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","Need a change? Youäó»ve come to the right workout. This one week shocker is meant to break through the boredom and monotony, and beat your body into growth.",,0,4.9,33,60
100 Reps Per Set Shocker Fullbody Workout,Build Muscle,Maik Wiedenbach,2,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Full Body,Intermediate,"
						Male & Female						
					","Blast out of a rut with 100 reps per set. 100 rep sets can be used to shock the entire body for a week or two, or to bring up a lagging part.

",,0,5,54,106
12 Week Beginners Training Routine,Build Muscle,Doug Lawrenson,2,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Full Body,Beginner,"
						Male & Female						
					",A twelve week full body beginners routine designed to get your body ready for an intense split routine. Includes a detailed week by week plan.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/12feature.jpg,0,5,272,692
18 Week Chin Up & Dip Program For An Impressive Upper Body,Build Muscle,Eric Brown,4,"Bodyweight, Other",Single Muscle Group,Beginner,"
						Male & Female						
					",Chin ups and dips are 2 overlooked but important bodyweight exercises. This 18 week workout protocol features a single training day dedicated to these movements.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/dipchin.jpg,0,4.8,87,165
2 Day Simple A/B Split by Steve,Build Muscle,M&S Team,2,"Barbell, Bodyweight, Dumbbells",Full Body,Beginner,"
						Male & Female						
					",Effective 2 day per week fullbody routine that is perfect for building muscle and strength. If you don't have time to live in the gym this is the routine for you.,,0,4.8,97,340
2 Day Squat Workout For Improved Size & Strength,Build Muscle,M&S Team,2,"Barbell, Machines",Split,Intermediate,"
						Male & Female						
					","No more weak and small legs. This squat specialization program will have you hammering your wheels twice a week, bringing up both your leg size and squat strength.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/2squat_feature.jpg,0,4.9,25,18
20 Rep Quad & Hamstring Shock Workout,Build Muscle,M&S Team,1,"Barbell, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male						
					","Can you handle the leg day pain? Let's find out. This is a no holds barred hardcore workout that will forge your budding twigs into mammoth tree trunks, if you dare try it.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/leg_feature.jpg,0,5,4,13
2014 Minutes To A Better Body: 8 Week Fast Start Plan,Build Muscle,Brad Borland,4,"Barbell, Bodyweight, Dumbbells",Split,Beginner,"
						Male & Female						
					",Maximize your first 2014 training minutes of the new year and reach your goals with this 8 week better body quick start training program for beginners by Brad Borland. ,,0,5,24,12
3 Day Fullbody Workout Using Alternative Tools,Build Muscle,Chris Butler,3,"Bodyweight, Kettle Bells, Other",Full Body,Beginner,"
						Male & Female						
					","Make use of non-conventional training tools including kettlebells, sandbags, stones and bodyweight lifts, and build muscle and strength.",,0,5,35,11
3 Day Hardcore Program,Build Muscle,M&S Writers,3,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","This 3 day workout hits all major muscle groups. The first day targets legs/back, second day is chest/shoulders and the last is dedicated to arm training.",,0,4.9,82,172
3 Day Power Muscle Burn Workout Split,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","Finally! A three day workout split variation for the wildly popular Power, Muscle, Burn muscle building system. Thousands of people have used this system successfully.",,0,4.8,71,145
3 Day Workout For Beginners,Build Muscle,M&S Writers,3,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Beginner,"
						Male & Female						
					",New to weight training? This workout is for you. Designed to hit each muscle group with the big compound exercises once per week. Each workout day has 3-5 exercises. ,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/beginners-workout.jpg,0,4.9,427,1300
