12 Week Fat Destroyer: Complete Fat Loss Workout & Diet Program,Lose Fat,Max Riley,6,"[1, 2, 3, 4, 8]",Full Body,Beginner,Male & Female,"This is a complete 12 week program to help you get ripped. Feature includes detailed diet plan and cardio schedule, along with a 4 day upper/lower muscle building split.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/thumb.jpg,0,4.8,135,143
2 Day Intense Fat Loss & Muscle Tone Workout,Lose Fat,M&S Writers,2,"[1, 2, 3, 4, 6, 5, 7]",Full Body,Intermediate,"
Male & Female
					","This intense 2 day full body workout is designed for decreasing fat and increasing muscle tone. This workout was put to the test, and after 4 weeks subjects lost body fat and gained muscle mass!",,0,5,271,213
3 Day Whole Body Toning Workout,Build Muscle,M&S Writers,3,"[1, 2, 3, 4, 5]",Full Body,Intermediate,"
Male & Female
					",3 day per week whole body toning workout designed for people who don't want to build up bulk but just want to tone and strengthen their muscles.,,0,5,417,477
30 Minute Women's Toning Workout With Jenna Webb & Melanie Tillbrook,Lose Fat,M&S Team,3,"[2, 3, 4, 5, 7]",Full Body,Beginner,"
						Female						
					",Short on time? MuscleTech athletes Jenna Webb and Melanie Tillbrook designed this quick 30 minute toning routine that works the full body.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/30min_routine_feature.jpg,0,4.1,11,0
300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,General Fitness,Brad Borland,4,"[1, 2, 4, 8, 7]",Full Body,Beginner,"
Male & Female
					","Seize your glory by building a Spartan body. This feature presents three new workouts, including a powerful 4 day split designed to shred fat and build muscle.",,0,5,55,23
4 Day Shred Cycle Fat Loss Workout,Lose Fat,Thomas Schultz,4,"[1, 4, 5]",Split,Intermediate,"
Male & Female
					",Train insane 4 days a week. Combine your resistance training sessions with short bursts of cardio to maximize fat loss while maintaining existing muscle mass.,,0,4.6,35,17
"40 Minute Blast - Abs, Cardio And Resistance Workout",General Fitness,John Gormen,1,"[2, 4]",Cardio,Beginner,"
Male & Female
					","A cardio, weights and abs workout perfect for those days when you need to do something fun at the gym. Simply grab a heavy and light set of dumbbells and go!",,0,4.9,43,30
5 Best 20 Minute HIIT Cardio Workouts For Rapid Fat Loss,Lose Fat,Brad Borland,2,"[2, 8, 7]",Cardio,Beginner,"
Male & Female
					",You don't have to spend hours on cardio equipment to burn fat. Try one of these HIIT cardio routines for faster (and less boring!) fat loss.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/hiit-fat-loss-workouts.jpg,0,4.7,3,9
5 Fat Loss Workouts From Cory Gregory & MusclePharm,Lose Fat,Cory Gregory,3,"[9, 1, 2, 4, 5, 7]",Cardio,Beginner,"
Male & Female
					",Cory Gregory from MusclePharm presents five unique and incredibly effective fat burning workout variations. Get off the treadmill and start burning more calories.,,0,5,6,2
50 Rep Fat Loss HIIT Treadmill And Kettlebell Workout,Lose Fat,Ian Coleman,3,"[2, 8]",Full Body,Beginner,"
Male & Female
					","Blast fat using only a kettlebell, bodyweight exercises and some HIIT treadmill sprinting. Exercises move along in a taxing 10 to 50 rep progression pattern.",,0,4.9,23,16
