p_name,fit_goal,author,days_per_wk,eq_ids,p_type,exp_lvl,gender,p_summary,cover_img,shares,stars,votes,comment_count
 “No Juice” Advanced Bodybuilding Workout Routine,Build Muscle,Pete Khatcherian,6,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Split,Advanced,Male & Female,"Avoid plateauing with the ""No Juice"" routine, which manipulates intensity, frequency, and volume to help you continue progressing in the gym.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/no_juice_feature.jpg,0,4,9,18
10 Week Chest Size & Bench Press Strength Workout,Build Muscle,M&S Team,1,"Barbell, Dumbbells, Machines",Single Muscle Group,Beginner,Male & Female,This ten week training cycle is designed to not only boost your barbell bench press prowess but also pack on slabs of muscle mass to your upper and lower chest.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/10mass_feature.jpg,0,4.9,40,49
100% Powerlifting Workout,Increase Strength,M&S Writers,4,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Split,Intermediate,Male & Female,The 100% powerlifting workout. is specifically designed for someone competing in powerlifting. Also a great choice for someone building general strength.,,0,4.8,133,217
12 Weeks To A Bigger Bench Press,Increase Strength,Jonathan Byrd,3,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Single Muscle Group,Beginner,Male & Female,"How much do you bench? If you feel it's never enough, then this 12 week specialization cycle is for you. Give this program a try and beef up your bench in no time.",,0,5,18,22
18 Week Bench Press Peaking Cycle,Increase Strength,M&S Team,1,"Barbell, Cables, Dumbbells, EZ Bar",Single Muscle Group,Intermediate,Male & Female,"Unsatisfied with your bench press numbers? This effective peaking cycle ramps up the intensity week in and week out, providing you with plenty of bench-building volume.",,0,5,5,14
2 Day Squat Workout For Improved Size & Strength,Build Muscle,M&S Team,2,"Barbell, Machines",Split,Intermediate,Male & Female,"No more weak and small legs. This squat specialization program will have you hammering your wheels twice a week, bringing up both your leg size and squat strength.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/2squat_feature.jpg,0,4.9,25,18
3 Day Whole Body Football Strength Workout,Increase Strength,M&S Writers,3,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Full Body,Intermediate,Male & Female,"Increase your explosive power and strength to help you on the football field. It's a full body workout on a three day schedule - Monday, Wednesday and Friday.",,0,4.9,188,325
3 Week NFL Combine Bench Press Program,Increase Strength,M&S Team,1,"Barbell, Dumbbells",Sports Training,Intermediate,Male,"Improve your bench press strength and endurance with this 3 week program. Workouts cycle between 5x5, 5x8 and 3x3 weeks, ending with an all-out 20 rep test.",,0,4.4,26,40
4 Week Beginner Core Strength Trainer,Increase Strength,Coach Dustin Myers,6,"Bands, Bodyweight, Dumbbells",Single Muscle Group,Beginner,Male & Female,Coach Myers has taken a break from extreme core challenges to craft a core strength routine for beginners. You're just 1 month away from a strong core!,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/beginner-core-strength-trainer.jpg,0,5,1,5
5 Cross Training Workouts For General Conditioning,Sports Performance,Thomas Schultz,1,"Barbell, Bodyweight, Kettle Bells, Other",Full Body,Beginner,Male & Female,The following 5 cross training daily workout routines that contain a variety of exercises aimed at improving your overall conditioning.,,0,4.9,13,16
"6 Day Push, Pull, Legs Powerbuilding Split & Meal Plan",Build Muscle,Nick Ludlow,6,"Barbell, Bodyweight, Dumbbells, Machines",Split,Intermediate,Male & Female,"Hungry for some serious gym time and crazy gains? Nick Ludlow helps you to go heavy, go hard and improve your results with this intense, high volume rest-pause workout.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/power8.jpg,0,4.2,14,28
"6 Week Navy Seal Workout Routine: Speed, Strength & Endurance",General Fitness,Brad Borland,4,"Barbell, Bodyweight, Dumbbells, Foam Roll",Full Body,Beginner,Male & Female,"Do you have what it takes to tackle this introductory Navy SEAL training plan? You'll build functional strength, speed, and endurance with this 6-week workout routine.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/navy_seal_training_2.jpg,0,4.2,5,45
8 Week Bench Press Builder,Increase Strength,M&S Team,4,"Barbell, Dumbbells, EZ Bar",Single Muscle Group,Intermediate,Male & Female,Build a bigger bench press with this intense and effective 8 week specialization program that features two pressing workouts per week. ,,0,5,12,62
